approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,middle,1,1,sequential,V,10,10,1,10,11,20,2.7794415950775146,297.3511447906494,261.2891752719879,0.09090909090909091,0.0,0.0,0.0,0.5,16
PyGenProg,middle,1,1,sequential,V,30,30,1,10,11,60,3.3016719818115234,286.9592831134796,217.52302646636963,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,middle,1,1,sequential,V,50,50,1,10,11,100,3.4304492473602295,333.4481873512268,222.69271063804626,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,3.3029367923736572,491.364205121994,276.47274565696716,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,4.080501556396484,481.40113639831543,286.3177001476288,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,4.5411741733551025,694.9319262504578,273.22208857536316,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,2.7815985679626465,697.673926115036,301.7622482776642,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,middle,1,1,sequential,C,5,5,0,0,10,10,1.6879823207855225,375.877338886261,158.9697825908661,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,middle,1,1,sequential,C,10,10,0,0,20,20,1.441178560256958,299.6095781326294,134.0908920764923,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,1,1,sequential,C,30,30,0,0,60,60,1.335418462753296,375.71592831611633,151.48868441581726,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,1,1,sequential,C,50,50,0,0,100,100,2.2434096336364746,423.95903491973877,80.41642785072327,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.4207091331481934,501.760302066803,197.41842579841614,0.9672727272727273,,,,,7
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,1.4380216598510742,461.53783679008484,74.15277886390686,0.9672727272727273,0.7352941176470589,1.0,0.8474576271186441,0.82,1
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,2.2614359855651855,696.4802448749542,239.48309516906738,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,2.347724676132202,1005.741135597229,114.75997614860535,1.0,1.0,1.0,1.0,1.0,1
PyGenProg,middle,2,1,sequential,B,0,0,1,10,11,11,2.163954496383667,293.41690039634705,110.5738525390625,1.0,1.0,1.0,1.0,1.0,2
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,2.456707000732422,295.12122106552124,105.20149946212769,1.0,1.0,1.0,1.0,1.0,2
PyGenProg,middle,2,1,sequential,F,5,5,1,10,10,11,5.048436880111694,339.2077889442444,133.37529110908508,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,middle,2,1,sequential,F,10,10,1,10,20,11,4.793245792388916,279.41081404685974,130.02469491958618,0.09090909090909091,0.0,0.0,0.0,0.5,10
PyGenProg,middle,2,1,sequential,F,30,30,1,10,60,11,5.449437141418457,308.4893214702606,119.5587728023529,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,1,sequential,F,50,50,1,10,100,11,5.622982025146484,306.4907331466675,129.37647032737732,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,4.95824408531189,418.532368183136,120.66826009750366,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,4.434070110321045,425.3754720687866,132.88315606117249,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,4.803020715713501,441.72864961624146,134.41754364967346,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,4.743727445602417,413.54473185539246,126.07047843933105,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,V,5,5,1,10,11,10,5.17892050743103,289.4911255836487,130.55709791183472,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,1,sequential,V,10,10,1,10,11,20,4.835850477218628,292.65029096603394,140.84265160560608,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,1,sequential,V,30,30,1,10,11,60,5.478601455688477,322.61549258232117,135.35959339141846,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,1,sequential,V,50,50,1,10,11,100,4.97787880897522,312.4407203197479,131.23292136192322,0.09090909090909091,0.0,0.0,0.0,0.5,7
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,4.920069932937622,410.28389596939087,122.91757917404175,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,4.7883665561676025,358.98418951034546,82.90417122840881,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,3.2171719074249268,292.3784658908844,84.81267356872559,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,3.124720811843872,316.2824366092682,85.1692316532135,0.09090909090909091,0.0,0.0,0.0,0.5,6
PyGenProg,middle,2,1,sequential,C,5,5,0,0,10,10,1.5998404026031494,184.63596653938293,78.1706223487854,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,middle,2,1,sequential,C,10,10,0,0,20,20,1.9232513904571533,216.76748776435852,91.43536114692688,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,middle,2,1,sequential,C,30,30,0,0,60,60,1.9376883506774902,253.029287815094,74.04650831222534,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,middle,2,1,sequential,C,50,50,0,0,100,100,1.8561606407165527,222.7335548400879,69.85367226600647,0.09090909090909091,0.0,0.0,0.0,0.5,1
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,2.305274248123169,287.9279639720917,65.21436309814453,0.9618181818181818,0.704225352112676,1.0,0.8264462809917354,0.79,1
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,1.8778901100158691,312.4142372608185,85.19861698150635,0.9618181818181818,0.704225352112676,1.0,0.8264462809917354,0.79,1
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,1.8698201179504395,292.55524015426636,77.46181607246399,1.0,1.0,1.0,1.0,1.0,1
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,2.098811149597168,376.95755434036255,68.3174033164978,1.0,1.0,1.0,1.0,1.0,1
PyGenProg,calculator,1,1,sequential,B,0,0,1,10,11,11,2.2818267345428467,299.47472620010376,71.87910509109497,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,1.8087756633758545,421.26282382011414,318.7612166404724,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,calculator,1,1,sequential,F,5,5,1,10,10,11,3.3228633403778076,326.1463942527771,154.7442934513092,0.09090909090909091,0.0,0.0,0.0,0.5,21
PyGenProg,calculator,1,1,sequential,F,10,10,1,10,20,11,3.014892339706421,236.24219250679016,98.55428171157837,0.09090909090909091,0.0,0.0,0.0,0.5,19
PyGenProg,calculator,1,1,sequential,F,30,30,1,10,60,11,5.096853017807007,282.24884700775146,100.26727771759033,0.09090909090909091,0.0,0.0,0.0,0.5,14
PyGenProg,calculator,1,1,sequential,F,50,50,1,10,100,11,4.9344353675842285,307.02500343322754,153.00011897087097,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,3.696286678314209,554.9636449813843,98.67763710021973,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,3.6455888748168945,574.909031867981,101.82499432563782,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,4.286386251449585,608.5865552425385,97.64097476005554,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,F,50,50,1,10,100,11,3.7366511821746826,574.4326348304749,126.85349369049072,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,1,sequential,V,5,5,1,10,11,10,3.847024917602539,282.87757635116577,575.4919600486755,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,calculator,1,1,sequential,V,10,10,1,10,11,20,4.7124433517456055,301.40129566192627,581.298455953598,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,calculator,1,1,sequential,V,30,30,1,10,11,60,5.17922306060791,451.33605670928955,609.720593214035,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,calculator,1,1,sequential,V,50,50,1,10,11,100,4.847578287124634,546.4479854106903,599.3211913108826,0.09090909090909091,0.0,0.0,0.0,0.5,12
PyGenProg,calculator,1,10,sequential,V,5,5,1,10,11,10,3.6424012184143066,528.6498866081238,107.11796975135803,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,V,10,10,1,10,11,20,4.961256742477417,705.7725703716278,105.62880778312683,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,V,30,30,1,10,11,60,3.834050416946411,881.3141276836395,102.00839018821716,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,10,sequential,V,50,50,1,10,11,100,4.560665845870972,1261.9302771091461,125.95662260055542,0.09090909090909091,0.0,0.0,0.0,0.5,17
PyGenProg,calculator,1,1,sequential,C,5,5,0,0,10,10,2.1262691020965576,330.08569979667664,333.6736161708832,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,calculator,1,1,sequential,C,10,10,0,0,20,20,2.078568935394287,378.6176528930664,339.6550145149231,0.09090909090909091,0.0,0.0,0.0,0.5,5
PyGenProg,calculator,1,1,sequential,C,30,30,0,0,60,60,2.3295345306396484,430.3931522369385,333.0257589817047,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,calculator,1,1,sequential,C,50,50,0,0,100,100,1.872624397277832,589.0831942558289,369.9130554199219,0.09090909090909091,0.0,0.0,0.0,0.5,4
PyGenProg,calculator,1,10,sequential,C,5,5,0,0,10,10,2.880892038345337,732.6691579818726,361.98443269729614,0.09090909090909091,,,,,9
