approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,expression,1,10,sequential,F,5,5,1,10,10,11,2.913743257522583,816.9996957778931,326.70020294189453,0.09090909090909091,0.0,0.0,0.0,0.5,39
PyGenProg,expression,1,10,sequential,F,10,10,1,10,20,11,2.000439167022705,778.3257024288177,351.2445557117462,0.09090909090909091,0.0,0.0,0.0,0.5,40
PyGenProg,expression,1,10,sequential,F,30,30,1,10,60,11,1.258746862411499,745.5533676147461,299.4938545227051,0.09090909090909091,0.0,0.0,0.0,0.5,35
PyGenProg,expression,1,10,sequential,F,50,50,1,10,100,11,1.3302178382873535,605.5732190608978,283.108934879303,0.09090909090909091,0.0,0.0,0.0,0.5,37
PyGenProg,expression,1,10,sequential,V,5,5,1,10,11,10,1.1112854480743408,558.7624173164368,291.83099126815796,0.09090909090909091,0.0,0.0,0.0,0.5,36
PyGenProg,expression,1,10,sequential,V,10,10,1,10,11,20,2.243629217147827,934.8055357933044,312.98468685150146,0.09090909090909091,0.0,0.0,0.0,0.5,36
PyGenProg,expression,1,10,sequential,V,30,30,1,10,11,60,1.3065268993377686,1133.7348489761353,290.156756401062,0.09090909090909091,0.0,0.0,0.0,0.5,36
PyGenProg,expression,1,10,sequential,V,50,50,1,10,11,100,1.5552072525024414,2067.26904463768,299.4423372745514,0.09090909090909091,0.0,0.0,0.0,0.5,36
PyGenProg,expression,1,10,sequential,C,5,5,0,0,10,10,1.9588203430175781,742.440242767334,116.52259993553162,0.09090909090909091,0.0,0.0,0.0,0.5,9
PyGenProg,expression,1,10,sequential,C,10,10,0,0,20,20,2.022921323776245,662.001959323883,84.19613003730774,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,expression,1,10,sequential,C,30,30,0,0,60,60,2.109445095062256,2039.2294211387634,75.68098855018616,0.09090909090909091,0.0,0.0,0.0,0.5,2
PyGenProg,expression,1,10,sequential,C,50,50,0,0,100,100,1.8884861469268799,2668.8350117206573,77.78290367126465,0.09090909090909091,0.0,0.0,0.0,0.5,2
